"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
6,7,1530,"1",620,"1","1",594,"1","3","M",5015976,286168,"3","2","2","1","3","1","1","1","1","1",1945,"5","11","7","2","8","1","1"
6,29,800,"1",620,"2","1",384,"1","3","M",5015024,308158,"3","2","2","1","1","1","1","1","1","1",1944,"9","11","7","2","1","1","1"
6,29,800,"1",620,"2","1",384,"1","3","M",5015024,308158,"3","2","2","1","1","1","1","1","1","1",1995,"4","11","10","2","8","19","1"
6,8,1745,"1",620,"1","1",557,"1","3","M",5033880,273022,"3","2","2","1","1","1","1","1","1","1",1989,"5","11","14","2","7","13","1"
8,12,615,"2",620,"6","1",320,"1","3","M",5031524,268372,"3","2","2","1","1","1","1","1","1","1",1963,"5","11","7","2","3","1","1"
8,12,615,"2",620,"6","1",320,"1","3","M",5031524,268372,"3","2","2","1","1","1","1","1","1","1",1961,"4","11","15","2","6","1","0"
1,11,1130,"1",620,"1","1",152,"1","3","M",5021248,280650,"3","2","2","1","1","1","1","1","1","1",1928,"5","11","7","2","2","10","0"
1,11,1130,"1",620,"1","1",152,"1","3","M",5021248,280650,"3","2","2","1","1","1","1","1","1","1",1990,"5","21","33","2","1","1","1"
5,13,930,"1",620,"1","2",718,"1","5","M",5029934,288737,"3","2","2","3","1","1","1","1","1","1",1980,"5","21","33","2","1","1","1"
5,13,930,"1",620,"1","2",718,"1","5","M",5029934,288737,"3","2","2","3","1","1","1","1","1","1",1962,"4","11","10","2","5","15","0"
5,13,930,"1",620,"1","2",718,"1","5","M",5029934,288737,"3","2","2","3","1","1","1","1","1","1",1969,"5","11","7","2","3","1","0"
9,10,1445,"1",620,"3","2",414,"7","3","M",5025144,295922,"3","2","2","1","1","1","1","1","1","2",1987,"3","11","7","2","1","1","0"
