"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
11,21,745,"2",520,"3","1",235,"8","3","M",4864633,487339,"2","1","1","1","1","1","1","1","1","1",1960,"4","11","17","2","5","1","0"
11,21,745,"2",520,"3","1",235,"8","3","M",4864633,487339,"2","1","1","1","1","1","1","1","1","1",1995,"5","11","7","2","3","19","1"
8,2,1830,"1",520,"3","2",265,"1","3","M",4856129,505376,"3","2","2","1","3","1","1","1","1","1",1933,"5","11","7","2","8","19","0"
8,2,1830,"1",520,"3","2",265,"1","3","M",4856129,505376,"3","2","2","1","3","1","1","1","1","1",1971,"5","21","33","2","1","21","1"
8,12,30,"3",520,"1","1",250,"1","1","M",4843406,515330,"2","2","2","1","3","1","1","1","1","1",1974,"5","11","7","2","1","13","1"
8,12,30,"3",520,"1","1",250,"1","1","M",4843406,515330,"2","2","2","1","3","1","1","1","1","1",1993,"5","11","7","2","1","21","1"
9,11,1745,"1",520,"1","1",250,"1","1","M",4842880,515843,"4","2","1","2","2","1","1","1","1","1",1988,"5","11","7","2","3","1","1"
9,11,1745,"1",520,"1","1",250,"1","1","M",4842880,515843,"4","2","1","2","2","1","1","1","1","2",1966,"4","11","7","2","3","21","0"
1,20,715,"3",210,"1","1",609,"1","5","M",4720978,527630,"3","2","2","1","3","1","1","1","1","1",1994,"1","11","7","2","1","17","0"
1,20,715,"3",210,"1","1",609,"1","5","M",4720978,527630,"3","2","2","1","3","1","1","1","1","1",1959,"1","11","7","2","1","21","0"
1,20,715,"3",210,"1","1",609,"1","5","M",4720978,527630,"3","2","2","1","3","1","1","1","1","1",1973,"9","11","7","2","1","21","1"
7,16,845,"1",210,"2","2",38,"7","3","M",4718845,539009,"4","2","2","1","1","1","1","1","1","1",1960,"5","11","7","2","1","19","0"
10,30,1815,"2",210,"1","2",38,"1","1","M",4719422,538362,"3","2","2","2","3","1","1","1","1","1",1993,"5","12","7","2","3","13","1"
10,30,1815,"2",210,"1","2",38,"1","1","M",4719422,538362,"3","2","2","2","3","1","1","1","1","2",1965,"5","11","7","2","3","1","0"
6,25,815,"1",210,"9","2",292,"1","1","M",4723177,524168,"3","1","1","1","1","1","1","1","1","2",1948,"5","11","7","2","3","1","0"
6,25,815,"1",210,"9","2",292,"1","1","M",4723177,524168,"3","1","1","1","1","1","1","1","1","1",1999,"1","21","31","2","1","1","1"
7,13,1845,"1",210,"6","2",126,"1","1","M",4728026,522279,"3","2","1","1","3","1","1","1","1","2",1964,"3","11","7","9","8","1","0"
7,13,1845,"1",210,"6","2",126,"1","1","M",4728026,522279,"3","2","1","1","3","1","1","1","1","1",1962,"5","21","1","2","1","1","1"
3,22,1300,"1",210,"1","2",390,"1","1","M",4727651,500127,"4","2","2","2","1","1","1","1","1","1",1996,"5","11","7","2","1","13","0"
3,22,1300,"1",210,"1","2",390,"1","1","M",4727651,500127,"4","2","2","2","1","1","1","1","1","1",1997,"5","22","30","2","4","15","1"
5,7,1330,"1",210,"6","2",390,"1","6","M",4728123,501681,"3","2","2","1","2","1","1","1","1","2",1994,"1","21","30","2","8","9","1"
11,11,930,"1",210,"6","1",263,"1","3","M",4725882,503466,"3","2","2","2","3","1","1","1","1","2",1963,"1","13","7","2","7","16","0"
11,11,930,"1",210,"6","1",263,"1","3","M",4725882,503466,"3","2","2","2","3","1","1","1","1","1",1957,"5","21","1","2","8","16","1"
11,25,1015,"1",210,"1","1",295,"1","6","M",4723300,499100,"4","2","2","1","1","1","4","1","1","1",1946,"1","11","7","1","5","4","0"
8,16,1530,"1",210,"1","2",638,"1","1","M",4752433,518223,"3","2","2","2","1","1","1","1","1","1",1931,"5","11","7","9","2","17","0"
8,16,1530,"1",210,"1","2",638,"1","1","M",4752433,518223,"3","2","2","2","1","1","1","1","1","1",1933,"5","22","1","2","3","15","0"
3,12,1645,"1",210,"3","2",461,"1","3","M",4695002,462877,"3","2","2","1","1","1","1","1","1","2",1956,"1","21","30","2","1","1","1"
3,12,1645,"1",210,"3","2",461,"1","3","M",4695002,462877,"3","2","2","1","1","1","1","1","1","2",1936,"5","11","7","2","3","19","0"
9,6,1815,"1",210,"1","1",150,"1","1","M",4692573,473939,"3","2","2","1","1","1","1","1","1","1",1951,"5","11","7","2","1","5","0"
9,6,1815,"1",210,"1","1",150,"1","1","M",4692573,473939,"3","2","2","1","1","1","1","1","1","1",1958,"5","11","7","2","1","1","1"
4,22,2115,"3",210,"1","1",9,"1","1","M",4718272,441070,"3","2","1","1","1","1","1","1","1","1",1982,"5","11","7","2","1","5","1"
4,22,2115,"3",210,"1","1",9,"1","1","M",4718272,441070,"3","2","1","1","1","1","1","1","1","1",1963,"4","91","21","2","1","1","0"
6,1,1500,"1",210,"1","1",360,"1","1","M",4709249,467504,"3","2","1","1","1","1","1","1","1","1",1958,"9","11","10","2","3","13","1"
8,30,1415,"1",210,"1","1",715,"1","1","M",4709033,437028,"3","2","2","1","1","1","1","1","1","1",1995,"5","11","7","2","7","13","1"
8,30,1415,"1",210,"1","1",715,"1","1","M",4709033,437028,"3","2","2","1","1","1","1","1","1","1",1957,"5","11","7","2","1","1","0"
11,1,1530,"1",210,"2","1",567,"1","3","M",4711451,450650,"3","2","2","1","1","1","1","1","1","2",1948,"5","11","7","2","2","1","0"
11,1,1530,"1",210,"2","1",567,"1","3","M",4711451,450650,"3","2","2","1","1","1","1","1","1","2",1932,"5","11","7","2","3","19","1"
4,26,1300,"1",210,"1","1",564,"1","1","M",4713199,509314,"3","2","2","1","3","9","1","1","1","1",1964,"5","21","33","2","8","13","1"
4,26,1300,"1",210,"1","1",564,"1","1","M",4713199,509314,"3","2","2","1","3","9","1","1","1","2",1959,"3","11","7","2","1","1","0"
6,30,845,"1",210,"1","2",464,"1","6","M",4713637,495005,"4","1","2","1","1","1","1","1","1","1",1982,"2","11","7","1","2","11","0"
9,19,1145,"1",210,"2","1",464,"1","3","M",4712281,494609,"4","2","2","1","1","1","1","1","1","2",1987,"3","11","7","2","1","1","0"
9,19,1145,"1",210,"2","1",464,"1","3","M",4712281,494609,"4","2","2","1","1","1","1","1","1","1",1956,"4","11","10","2","6","9","0"
12,2,1800,"5",210,"1","2",201,"1","6","M",4775027,449275,"4","2","2","1","1","1","1","1","1","1",1983,"4","11","17","1","5","15","0"
12,26,1430,"1",210,"1","1",700,"1","3","M",4793126,453726,"3","2","2","1","1","1","1","1","1","1",1968,"5","21","33","2","3","5","1"
12,26,1430,"1",210,"1","1",700,"1","3","M",4793126,453726,"3","2","2","1","1","1","1","1","1","2",1954,"5","11","7","2","3","5","0"
10,31,815,"1",210,"1","1",26,"7","3","M",4771509,428547,"3","2","1","1","1","1","1","1","1","1",1984,"1","13","7","2","3","13","1"
10,31,815,"1",210,"1","1",26,"7","3","M",4771509,428547,"3","2","1","1","1","1","1","1","1","1",1952,"4","1","21","2","3","1","0"
10,19,1200,"1",210,"1","1",271,"1","5","M",4748961,449340,"3","2","2","1","1","1","1","1","1","1",1955,"5","11","7","2","7","17","1"
6,13,1545,"1",210,"1","1",417,"7","1","M",4730683,436313,"3","2","2","1","2","1","1","1","1","2",1977,"1","11","7","2","1","13","0"
6,13,1545,"1",210,"1","1",417,"7","1","M",4730683,436313,"3","2","2","1","2","1","1","1","1","2",1946,"5","11","7","2","1","1","0"
7,3,1400,"1",210,"1","1",101,"1","3","M",4740200,443900,"4","2","2","1","1","1","1","1","1","1",1992,"4","11","10","2","8","1","0"
7,3,1400,"1",210,"1","1",101,"1","3","M",4740200,443900,"4","2","2","1","1","1","1","1","1","1",2001,"5","21","2","2","8","13","1"
1,14,1500,"1",210,"1","1",611,"4","1","M",4732034,472213,"3","2","2","1","3","7","1","1","1","1",1939,"5","11","7","2","1","1","0"
1,14,1500,"1",210,"1","1",611,"4","1","M",4732034,472213,"3","2","2","1","3","7","1","1","1","2",1965,"3","11","7","2","3","1","1"
1,14,830,"1",710,"2","1",250,"1","3","M",4637240,480588,"3","2","2","1","1","2","1","1","1","1",1946,"5","11","7","2","5","1","0"
1,14,830,"1",710,"2","1",250,"1","3","M",4637240,480588,"3","2","2","1","1","2","1","1","1","2",1972,"2","11","7","2","1","1","0"
4,11,1545,"1",710,"1","1",250,"1","3","M",4637341,478813,"3","2","2","1","1","1","1","1","1","1",1991,"5","21","33","2","1","17","1"
10,6,1500,"1",710,"1","2",556,"1","3","M",4627280,479878,"3","2","1","1","1","1","1","1","1","2",1957,"3","11","7","9","7","2","0"
10,6,1500,"1",710,"1","2",556,"1","3","M",4627280,479878,"3","2","1","1","1","1","1","1","1","1",1971,"3","22","1","2","8","13","1"
9,6,45,"3",710,"1","1",90,"1","2","M",4619890,476425,"3","3","2","1","1","1","1","1","1","1",1988,"5","11","7","2","2","2","0"
5,16,1000,"1",710,"1","2",289,"1","3","M",4630861,449180,"3","2","2","2","3","1","1","1","1","1",1924,"3","11","7","2","3","15","1"
5,16,1000,"1",710,"1","2",289,"1","3","M",4630861,449180,"3","2","2","2","3","1","1","1","1","1",1966,"5","11","7","2","2","1","0"
4,15,1145,"1",710,"9","2",14,"1","3","M",4695795,429720,"4","2","2","1","1","1","1","1","1","1",1999,"5","21","31","2","1","17","1"
7,14,845,"1",710,"3","2",14,"1","1","M",4695634,431560,"3","2","2","1","1","1","1","1","1","1",1969,"5","21","1","2","1","1","1"
7,14,845,"1",710,"3","2",14,"1","1","M",4695634,431560,"3","2","2","1","1","1","1","1","1","1",1981,"5","11","7","9","2","15","0"
7,28,1600,"1",710,"1","2",520,"1","3","M",4674249,484540,"3","2","2","1","1","1","1","1","1","1",1993,"4","11","10","2","8","15","0"
7,28,1600,"1",710,"1","2",520,"1","3","M",4674249,484540,"3","2","2","1","1","1","1","1","1","1",1993,"4","21","33","2","2","1","1"
5,29,1130,"1",710,"1","2",52,"1","3","M",4658048,488239,"4","2","1","3","2","1","1","1","1","2",1968,"4","11","10","2","8","1","0"
5,29,1130,"1",710,"1","2",52,"1","3","M",4658048,488239,"4","2","1","3","2","1","1","1","1","1",1962,"5","22","1","2","1","13","1"
7,20,1615,"1",710,"1","1",555,"1","1","M",4668925,487347,"3","2","3","2","1","1","1","1","1","1",1979,"4","11","10","2","3","13","0"
7,20,1615,"1",710,"1","1",555,"1","1","M",4668925,487347,"3","2","3","2","1","1","1","1","1","2",1981,"1","11","7","2","3","17","1"
7,4,1430,"1",710,"1","2",176,"7","6","M",4648428,398739,"4","2","2","1","1","1","1","1","1","1",1969,"9","11","7","1","1","1","0"
6,6,1715,"1",710,"1","2",275,"1","3","M",4626903,404133,"3","2","2","1","1","1","1","1","1","2",1968,"5","11","7","2","2","15","0"
6,6,1715,"1",710,"1","2",275,"1","3","M",4626903,404133,"3","2","2","1","1","1","1","1","1","1",1999,"5","21","30","2","1","1","0"
3,18,1030,"1",710,"3","1",56,"1","3","M",4664560,516399,"4","2","2","1","1","1","1","1","1","1",1944,"5","11","7","2","3","1","0"
3,18,1030,"1",710,"3","1",56,"1","3","M",4664560,516399,"4","2","2","1","1","1","1","1","1","1",1953,"5","11","7","2","8","19","1"
4,3,1515,"1",710,"1","2",261,"1","3","M",4659099,499921,"4","2","1","1","1","1","1","1","1","1",1938,"5","22","1","2","8","19","1"
4,3,1515,"1",710,"1","2",261,"1","3","M",4659099,499921,"4","2","1","1","1","1","1","1","1","1",1962,"4","11","10","2","3","1","0"
11,6,1745,"5",710,"1","2",310,"1","6","M",4674545,447097,"3","2","2","1","1","1","1","1","1","2",1952,"5","11","7","1","1","1","0"
1,2,1330,"1",890,"1","1",341,"5","4","M",4771902,376020,"1","3","4","1","1","2","1","1","1","2",1996,"5","11","7","2","1","2","0"
1,2,1330,"1",890,"1","1",341,"5","4","M",4771902,376020,"1","3","4","1","1","2","1","1","1","1",1987,"5","11","7","2","1","2","0"
1,2,1330,"1",890,"1","1",341,"5","4","M",4771902,376020,"1","3","4","1","1","2","1","1","1","1",1987,"5","11","7","2","1","2","0"
1,2,1330,"1",890,"1","1",341,"5","4","M",4771902,376020,"1","3","4","1","1","2","1","1","1","1",1966,"5","11","7","2","4","23","0"
2,22,1015,"1",890,"1","1",438,"5","2","M",4780084,364500,"1","3","2","1","1","1","1","1","1","2",1955,"5","11","7","2","1","1","1"
3,1,1030,"1",890,"1","1",53,"2","2","M",4787505,347769,"1","3","3","1","1","2","1","1","1","2",1979,"5","11","7","2","1","2","1"
3,3,45,"3",890,"1","1",133,"1","2","M",4797910,319206,"1","3","6","1","1","1","1","1","1","1",1968,"4","11","17","2","1","1","1"
3,3,45,"3",890,"1","1",133,"1","2","M",4797910,319206,"1","3","6","1","1","1","1","1","1","1",1978,"4","11","17","2","4","1","0"
6,6,1800,"1",890,"1","1",484,"1","2","M",4791025,330334,"1","3","3","2","1","1","1","1","1","1",1983,"4","11","10","2","2","3","1"
11,2,2300,"3",890,"1","1",24,"1","5","M",4783058,362290,"1","3","3","1","1","1","1","1","1","1",1969,"4","11","17","2","2","2","0"
11,2,2300,"3",890,"1","1",24,"1","5","M",4783058,362290,"1","3","3","1","1","1","1","1","1","2",1991,"5","11","7","2","1","1","0"
2,22,1415,"1",890,"1","1",172,"1","1","M",4823490,342438,"1","3","2","3","1","1","1","1","1","2",1963,"5","11","7","5","9","21","0"
2,22,1415,"1",890,"1","1",172,"1","1","M",4823490,342438,"1","3","2","3","1","1","1","1","1","2",1971,"5","11","7","5","1","21","1"
8,29,1545,"1",890,"1","1",342,"1","2","M",4824199,326204,"1","1","2","1","1","1","1","1","1","1",1988,"5","11","7","2","1","2","0"
11,9,830,"1",890,"1","1",459,"1","2","M",4812430,314256,"1","1","2","1","1","1","1","1","1","1",1996,"4","11","10","2","1","2","0"
2,16,1800,"2",890,"3","2",76,"1","3","M",4802287,366681,"4","2","2","1","1","1","1","1","1","1",1951,"5","11","7","2","2","1","0"
2,16,1800,"2",890,"3","2",76,"1","3","M",4802287,366681,"4","2","2","1","1","1","1","1","1","2",1993,"5","11","7","2","3","15","0"
9,13,1415,"1",890,"1","1",345,"8","1","M",4799974,371448,"3","2","2","1","1","1","1","1","1","2",1996,"5","11","7","2","1","13","1"
9,13,1415,"1",890,"1","1",345,"8","1","M",4799974,371448,"3","2","2","1","1","1","1","1","1","1",1928,"5","11","10","2","1","1","1"
12,11,1715,"5",890,"3","1",345,"1","5","M",4800511,367494,"3","2","2","1","1","1","1","1","1","1",1963,"1","11","10","2","3","23","0"
12,11,1715,"5",890,"3","1",345,"1","5","M",4800511,367494,"3","2","2","1","1","1","1","1","1","1",1995,"1","21","31","2","1","1","1"
12,11,1715,"5",890,"3","1",345,"1","5","M",4800511,367494,"3","2","2","1","1","1","1","1","1","1",1967,"1","11","10","2","1","15","0"
10,13,1000,"1",890,"3","1",2,"1","3","M",4771747,390998,"3","3","2","1","1","1","1","1","1","1",1935,"5","11","7","2","5","1","0"
10,13,1000,"1",890,"3","1",2,"1","3","M",4771747,390998,"3","3","2","1","1","1","1","1","1","1",1961,"5","11","7","2","2","2","0"
10,19,715,"5",890,"1","1",263,"5","3","M",4782926,358279,"3","2","2","1","1","1","1","1","1","1",1971,"1","21","33","2","1","6","1"
10,19,715,"5",890,"1","1",263,"5","3","M",4782926,358279,"3","2","2","1","1","1","1","1","1","1",1982,"4","11","15","2","3","1","0"
5,18,1745,"1",890,"1","2",419,"1","5","M",4772405,331165,"3","2","2","1","2","1","1","1","1","1",1972,"1","11","7","2","1","17","1"
5,18,1745,"1",890,"1","2",419,"1","5","M",4772405,331165,"3","2","2","1","2","1","1","1","1","1",1993,"2","11","7","2","1","1","0"
5,18,1745,"1",890,"1","2",419,"1","5","M",4772405,331165,"3","2","2","1","2","1","1","1","1","1",1962,"3","11","7","2","1","1","0"
6,18,1030,"1",890,"1","2",419,"1","6","M",4773492,329625,"4","2","2","1","1","1","1","1","1","1",1939,"5","11","7","1","2","1","0"
8,27,1800,"1",890,"1","2",419,"1","1","M",4772167,331328,"3","2","2","1","1","1","1","1","1","1",1957,"1","11","7","2","3","13","0"
8,27,1800,"1",890,"1","2",419,"1","1","M",4772167,331328,"3","2","2","1","1","1","1","1","1","1",1972,"5","21","30","2","1","1","1"
11,27,1830,"3",890,"1","1",367,"5","3","M",4762322,324836,"3","2","2","2","1","1","1","1","1","1",1978,"1","11","7","2","1","1","1"
11,27,1830,"3",890,"1","1",367,"5","3","M",4762322,324836,"3","2","2","2","1","1","1","1","1","1",1982,"5","12","7","2","3","19","1"
12,12,1045,"1",890,"1","1",254,"8","2","M",4767863,313654,"3","2","2","1","1","1","1","1","1","1",1968,"5","11","10","2","2","23","0"
12,12,1045,"1",890,"1","1",254,"8","2","M",4767863,313654,"3","2","2","1","1","1","1","1","1","2",1981,"5","11","10","2","3","1","0"
12,14,1200,"1",890,"1","1",272,"1","1","M",4771342,335458,"3","2","2","1","3","1","1","1","1","1",1954,"1","91","21","2","8","1","0"
5,2,1445,"1",890,"1","1",232,"3","1","M",4756501,388731,"3","2","2","1","3","2","1","1","1","1",1939,"5","11","7","2","1","13","0"
11,3,1300,"1",890,"1","1",159,"2","1","M",4751321,390888,"3","2","2","2","4","2","1","1","1","1",1977,"4","11","15","2","8","13","0"
5,11,745,"1",890,"1","2",206,"1","3","M",4798079,341535,"3","2","2","1","1","1","1","1","1","2",1979,"1","11","7","2","3","19","0"
9,12,1800,"1",890,"1","2",257,"1","3","M",4796481,351026,"4","2","2","1","1","1","1","1","1","1",1978,"3","11","7","2","3","1","0"
10,10,1945,"5",890,"1","2",257,"1","3","M",4795589,349979,"3","2","2","1","1","1","1","1","1","2",1968,"5","11","7","2","3","15","0"
10,10,1945,"5",890,"1","2",257,"1","3","M",4795589,349979,"3","2","2","1","1","1","1","1","1","1",1997,"5","11","7","2","8","1","0"
9,16,1615,"1",890,"4","1",195,"1","6","M",4815544,326959,"3","2","2","1","1","1","1","1","1","1",1972,"9","11","15","2","3","1","0"
9,16,1615,"1",890,"4","1",195,"1","6","M",4815544,326959,"3","2","2","1","1","1","1","1","1","2",1980,"5","11","7","2","5","9","0"
9,16,1615,"1",890,"4","1",195,"1","6","M",4815544,326959,"3","2","2","1","1","1","1","2","2","1",2005,"5","11","7","2","5","9","0"
9,16,1615,"1",890,"4","1",195,"1","6","M",4815544,326959,"3","2","2","1","1","1","1","2","3","1",2008,"5","11","7","2","5","9","0"
3,26,1745,"1",890,"1","1",189,"2","1","M",4828233,323973,"3","2","2","1","1","2","1","1","1","1",1981,"4","21","31","2","1","13","1"
3,26,1745,"1",890,"1","1",189,"2","1","M",4828233,323973,"3","2","2","1","1","2","1","1","1","2",1993,"1","11","7","2","2","1","0"
6,5,1530,"1",890,"1","1",414,"7","1","M",4829996,333863,"4","2","2","2","2","1","1","1","1","1",1981,"4","91","21","2","8","1","0"
6,5,1530,"1",890,"1","1",414,"7","1","M",4829996,333863,"4","2","2","2","2","1","1","1","1","2",1984,"5","21","30","2","3","1","1"
10,2,1515,"1",890,"1","1",414,"1","5","M",4829818,340657,"3","2","2","2","3","1","1","1","1","1",1945,"5","11","7","2","1","13","1"
10,2,1515,"1",890,"1","1",414,"1","5","M",4829818,340657,"3","2","2","2","3","1","1","1","1","1",1966,"4","11","10","2","1","1","0"
10,2,1515,"1",890,"1","1",414,"1","5","M",4829818,340657,"3","2","2","2","3","1","1","1","1","2",1986,"3","11","7","2","1","1","1"
1,20,1145,"1",890,"1","2",370,"1","1","M",4817924,309371,"3","2","2","1","1","1","1","1","1","2",1996,"5","21","32","2","1","15","1"
1,20,1145,"1",890,"1","2",370,"1","1","M",4817924,309371,"3","2","2","1","1","1","1","1","1","1",1956,"1","11","7","2","3","1","0"
4,1,1645,"1",890,"1","2",464,"1","1","M",4807983,329919,"4","2","1","1","4","1","1","1","1","1",1956,"5","11","7","2","3","1","1"
5,29,1100,"1",890,"1","1",51,"1","1","M",4811031,336106,"3","2","2","2","1","1","1","1","1","2",1995,"1","11","7","2","1","1","0"
5,29,1100,"1",890,"1","1",51,"1","1","M",4811031,336106,"3","2","2","2","1","1","1","1","1","2",1979,"5","11","7","2","1","1","0"
7,3,1645,"1",890,"1","1",464,"1","2","M",4806668,329093,"3","2","3","1","1","1","1","1","1","1",1954,"4","91","21","2","4","1","0"
7,3,1645,"1",890,"1","1",464,"1","2","M",4806668,329093,"3","2","3","1","1","1","1","1","1","1",1971,"4","11","10","2","1","2","1"
7,9,730,"1",250,"1","2",245,"7","1","M",4718900,605900,"3","2","1","1","1","1","1","1","1","1",1950,"4","11","38","2","2","15","0"
7,9,730,"1",250,"1","2",245,"7","1","M",4718900,605900,"3","2","1","1","1","1","1","1","1","1",1961,"1","21","31","2","5","1","1"
8,30,2145,"3",250,"1","1",410,"1","1","M",4722800,607800,"2","2","3","1","1","1","1","1","1","1",1984,"5","11","10","2","2","15","0"
8,30,2145,"3",250,"1","1",410,"1","1","M",4722800,607800,"2","2","3","1","1","1","1","1","1","2",1971,"5","11","7","2","3","1","0"
7,31,1115,"1",250,"1","2",630,"1","3","M",4710100,625100,"4","2","2","2","1","1","1","1","1","1",1970,"4","21","36","2","3","9","1"
7,31,1115,"1",250,"1","2",630,"1","3","M",4710100,625100,"4","2","2","2","1","1","1","1","1","1",1961,"4","11","7","2","2","1","0"
11,12,1530,"1",250,"1","1",558,"1","1","M",4717100,611200,"3","2","2","1","1","1","1","1","1","1",1937,"5","11","10","9","2","17","0"
11,12,1530,"1",250,"1","1",558,"1","1","M",4717100,611200,"3","2","2","1","1","1","1","1","1","1",1942,"5","21","1","2","4","1","1"
11,18,1745,"5",250,"1","2",15,"1","6","M",4703769,607126,"3","2","2","1","2","1","1","1","1","1",1935,"5","11","7","1","7","1","0"
4,3,700,"2",250,"1","1",527,"5","5","M",4719300,583300,"3","2","3","1","1","2","1","1","1","1",1994,"1","13","7","2","3","1","1"
4,3,700,"2",250,"1","1",527,"5","5","M",4719300,583300,"3","2","3","1","1","2","1","1","1","1",1980,"1","11","7","2","8","1","0"
4,3,700,"2",250,"1","1",527,"5","5","M",4719300,583300,"3","2","3","1","1","2","1","1","1","1",1978,"1","11","7","2","3","1","0"
4,2,1800,"1",250,"1","1",350,"3","3","M",4745900,668100,"3","2","2","1","2","2","1","1","1","1",1998,"5","21","30","2","8","19","0"
4,2,1800,"1",250,"1","1",350,"3","3","M",4745900,668100,"3","2","2","1","2","2","1","1","1","2",1995,"1","11","7","2","1","1","0"
12,2,1845,"3",250,"1","1",43,"1","5","M",4748633,677307,"3","2","2","1","1","1","1","1","1","1",1998,"5","21","30","2","1","1","1"
12,2,1845,"3",250,"1","1",43,"1","5","M",4748633,677307,"3","2","2","1","1","1","1","1","1","1",1981,"1","11","7","2","3","5","0"
12,2,1845,"3",250,"1","1",43,"1","5","M",4748633,677307,"3","2","2","1","1","1","1","1","1","1",1981,"5","11","7","2","8","1","0"
4,10,1645,"1",250,"3","1",228,"1","3","M",4751200,686400,"4","2","1","1","1","1","1","1","1","1",1967,"5","11","3","2","3","16","0"
4,10,1645,"1",250,"3","1",228,"1","3","M",4751200,686400,"4","2","1","1","1","1","1","1","1","1",1995,"5","21","30","2","1","1","0"
10,3,1400,"1",250,"1","1",196,"1","3","M",4748900,690000,"3","2","2","3","2","1","1","1","1","1",1930,"5","11","7","2","3","1","1"
10,3,1400,"1",250,"1","1",196,"1","3","M",4748900,690000,"3","2","2","3","2","1","1","1","1","1",1968,"5","11","7","2","3","1","0"
1,17,2045,"5",250,"1","1",193,"9","1","M",4722900,686500,"3","2","2","2","2","7","1","1","1","1",1997,"5","21","30","2","1","1","1"
1,17,2045,"5",250,"1","1",193,"9","1","M",4722900,686500,"3","2","2","2","2","7","1","1","1","2",1972,"5","11","7","2","3","1","0"
8,10,1715,"1",250,"1","2",255,"8","1","M",4716791,682782,"3","2","2","2","3","1","1","1","1","1",1993,"5","21","33","2","1","13","1"
8,10,1715,"1",250,"1","2",255,"8","1","M",4716791,682782,"3","2","2","2","3","1","1","1","1","1",1965,"1","11","7","2","3","1","0"
11,14,1530,"1",250,"1","1",91,"1","3","M",4727478,681551,"3","2","2","1","1","1","1","1","1","1",1967,"5","21","33","2","7","1","1"
11,14,1530,"1",250,"1","1",91,"1","3","M",4727478,681551,"3","2","2","1","1","1","1","1","1","1",1982,"5","11","7","2","2","13","0"
12,5,1045,"1",250,"1","2",356,"1","6","M",4725319,680162,"3","2","1","1","3","2","1","1","1","1",1997,"3","11","7","1","2","1","0"
1,6,1815,"3",250,"1","1",372,"1","3","M",4745900,659900,"3","2","2","1","1","1","1","1","1","1",1994,"2","11","7","2","2","13","1"
12,22,1815,"3",250,"1","1",508,"9","3","M",4731898,624648,"3","2","2","1","1","1","1","1","1","1",1939,"5","11","7","2","1","19","0"
12,22,1815,"3",250,"1","1",508,"9","3","M",4731898,624648,"3","2","2","1","1","1","1","1","1","1",1995,"5","21","2","2","8","1","1"
3,25,1815,"3",250,"1","1",222,"2","3","M",4714900,627000,"2","2","2","1","1","2","1","1","1","1",1998,"1","11","3","2","8","19","1"
3,25,1815,"3",250,"1","1",222,"2","3","M",4714900,627000,"2","2","2","1","1","2","1","1","1","1",1948,"4","11","7","2","2","1","0"
3,23,1815,"1",250,"2","2",320,"1","1","M",4678000,628500,"4","2","2","2","1","1","1","1","1","1",2006,"5","22","1","2","1","19","1"
7,18,1530,"1",250,"1","2",362,"1","3","M",4682801,629081,"3","2","2","4","1","1","1","1","1","1",1944,"5","11","7","2","2","15","0"
7,18,1530,"1",250,"1","2",362,"1","3","M",4682801,629081,"3","2","2","4","1","1","1","1","1","1",1964,"5","21","1","2","1","1","1"
10,24,2315,"5",250,"1","2",512,"1","3","M",4715700,672600,"3","2","2","1","1","1","1","1","1","1",1988,"5","11","7","2","3","19","0"
10,24,2315,"5",250,"1","2",512,"1","3","M",4715700,672600,"3","2","2","1","1","1","1","1","1","1",1998,"5","21","2","2","1","1","1"
3,6,650,"2",40,"1","2",70,"1","6","M",4409277,623793,"4","2","2","1","3","1","1","1","1","1",1975,"4","11","14","1","2","1","0"
3,6,650,"2",40,"1","2",70,"1","6","M",4409277,623793,"4","2","2","1","3","1","1","2","3","1",1985,"4","41","14","1","2","1","0"
3,6,650,"2",40,"1","2",70,"1","6","M",4409277,623793,"4","2","2","1","3","1","1","2","4","1",1991,"4","41","14","1","2","1","0"
2,21,710,"5",40,"1","2",70,"2","6","M",4409120,623140,"4","1","2","1","1","2","1","1","1","1",1961,"5","11","7","1","1","1","0"
5,15,1840,"1",40,"3","2",70,"1","6","M",4410730,623036,"4","2","2","1","1","1","1","1","1","2",1979,"5","11","7","1","7","1","0"
5,15,1840,"1",40,"3","2",70,"1","6","M",4410730,623036,"4","2","2","1","1","1","1","2","2","2",1999,"5","11","7","1","7","1","0"
6,2,1020,"1",40,"1","2",70,"1","6","M",4409724,624324,"3","2","2","1","1","1","1","1","1","1",1945,"5","11","7","1","2","1","0"
7,7,1905,"1",40,"1","2",70,"1","3","M",4409228,623657,"4","1","1","1","2","1","1","1","1","1",1999,"5","21","30","2","3","9","1"
7,7,1905,"1",40,"1","2",70,"1","3","M",4409228,623657,"4","1","1","1","2","1","1","1","1","1",1988,"5","11","7","2","3","1","0"
8,9,1100,"1",40,"1","2",70,"1","1","M",4407703,620967,"2","2","2","2","2","1","1","1","1","1",1950,"4","11","7","2","1","1","1"
9,23,1310,"1",40,"3","2",70,"1","2","M",4409500,623546,"3","2","2","1","1","1","1","1","1","1",1957,"9","11","7","2","6","15","0"
9,23,1310,"1",40,"3","2",70,"1","2","M",4409500,623546,"3","2","2","1","1","1","1","1","1","1",2000,"2","21","2","2","7","17","0"
